step,rl-loss,episode
448,0.2932070791721344,22
449,0.1636541485786438,22
450,0.1372075080871582,22
451,0.2223949432373047,22
452,0.24530167877674103,22
453,0.2677760422229767,22
454,0.34171953797340393,22
455,0.2167661190032959,22
456,0.26253587007522583,22
457,0.30002361536026,22
458,0.23742298781871796,22
459,0.22622798383235931,22
460,0.29465949535369873,22
461,0.20026187598705292,22
462,0.2330334484577179,22
463,0.340147465467453,22
464,0.191322460770607,22
465,0.20923268795013428,22
466,0.24080392718315125,22
467,0.13400718569755554,22
468,0.2848634421825409,22
469,0.2243506759405136,22
470,0.3001568913459778,22
471,0.3013082444667816,22
472,0.3308115005493164,22
473,0.28104913234710693,22
474,0.2892496585845947,22
475,0.36694765090942383,22
476,0.2441355586051941,22
477,0.31493937969207764,22
478,0.2549380362033844,22
479,0.3002123236656189,22
480,0.3065328896045685,22
481,0.24370431900024414,22
482,0.2987483739852905,22
483,0.27803289890289307,22
484,0.32879573106765747,22
485,0.3042263686656952,22
486,0.16735799610614777,22
487,0.3268527388572693,22
488,0.24411305785179138,22
489,0.3088318109512329,22
490,0.2133469432592392,22
491,0.2515373229980469,22
492,0.23033177852630615,22
493,0.26859650015830994,23
494,0.2919055223464966,23
495,0.25405991077423096,23
496,0.1413857787847519,23
497,0.2181156873703003,23
498,0.22723332047462463,23
499,0.23129120469093323,23
500,0.27736616134643555,24
501,0.26227784156799316,24
502,0.23860062658786774,24
503,0.29295891523361206,24
504,0.18866626918315887,24
505,0.2546689510345459,24
506,0.16789640486240387,24
507,0.13845683634281158,24
508,0.29837119579315186,24
509,0.21417926251888275,24
510,0.1475517749786377,24
511,0.3067253828048706,24
512,0.2934502363204956,24
513,0.3584478199481964,24
514,0.24088799953460693,24
515,0.443129301071167,25
516,0.21326349675655365,25
517,0.28427696228027344,25
518,0.2714812755584717,25
519,0.21879658102989197,25
520,0.29182562232017517,25
521,0.267035573720932,25
522,0.2613074481487274,25
523,0.21979516744613647,25
524,0.29210662841796875,25
525,0.20275212824344635,25
526,0.31306082010269165,25
527,0.2792590260505676,25
528,0.28820282220840454,25
529,0.21193505823612213,25
530,0.38071131706237793,25
531,0.15174995362758636,25
532,0.25441598892211914,25
533,0.18236957490444183,25
534,0.10558347404003143,25
535,0.163486510515213,25
536,0.18550100922584534,25
537,0.18346646428108215,25
538,0.2145506590604782,25
539,0.2282080054283142,25
540,0.3444370627403259,25
541,0.1893620491027832,25
542,0.24750971794128418,25
543,0.2756446599960327,25
544,0.19407308101654053,25
545,0.15710927546024323,25
546,0.3211832642555237,25
547,0.30877017974853516,25
548,0.2574065029621124,25
549,0.30845069885253906,25
550,0.31614214181900024,25
551,0.22441023588180542,25
552,0.269199937582016,25
553,0.2817673683166504,25
554,0.20814406871795654,25
555,0.24198080599308014,26
556,0.1978255808353424,26
557,0.21014562249183655,26
558,0.2999846637248993,26
559,0.20999667048454285,26
560,0.18859688937664032,26
561,0.2450733631849289,26
